0,64,682.0,1,4,1,3,3,5,4,2,2,1,2,3,2,4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral or dissatisfied
1,55,692.0,2,4,4,4,1,3,4,2,2,2,2,4,2,4,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,neutral or dissatisfied
2,34,1065.0,1,5,5,5,1,2,2,1,1,1,1,3,1,4,0.0,19.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,neutral or dissatisfied
3,29,1235.0,4,3,3,3,4,3,4,4,1,4,4,1,3,4,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,neutral or dissatisfied
4,7,309.0,2,5,2,3,3,2,3,3,3,2,4,1,3,3,58.0,71.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,neutral or dissatisfied
5,24,110.0,5,5,5,2,5,5,5,5,3,2,5,5,5,5,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,satisfied
6,50,3216.0,3,1,4,4,5,4,3,3,3,3,3,1,3,1,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,neutral or dissatisfied
7,39,3441.0,3,3,2,3,3,5,4,5,5,5,5,5,5,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,satisfied
8,25,577.0,3,4,3,1,4,3,5,4,3,5,5,3,5,4,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,neutral or dissatisfied
9,43,813.0,1,3,1,3,5,4,4,4,4,1,4,3,4,1,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,neutral or dissatisfied
10,44,3850.0,5,5,5,5,2,5,5,4,4,4,4,5,4,4,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,satisfied
11,49,578.0,5,1,1,1,5,5,5,1,1,1,4,5,4,5,162.0,179.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,satisfied
12,56,2138.0,2,2,2,2,4,1,1,3,3,4,3,1,3,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,satisfied
13,23,1626.0,2,5,2,2,4,2,4,4,5,5,4,3,4,4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,neutral or dissatisfied
14,24,919.0,1,4,1,4,2,1,2,2,3,4,5,3,5,2,16.0,10.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,neutral or dissatisfied
15,8,762.0,3,4,3,3,5,3,5,5,3,2,5,4,4,5,10.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,neutral or dissatisfied
16,41,300.0,4,4,4,4,2,1,4,5,5,5,5,5,5,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,satisfied
17,21,1481.0,2,2,2,2,3,5,3,3,2,3,2,4,2,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,satisfied
18,14,338.0,4,3,1,3,2,1,1,2,3,5,2,1,2,2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,neutral or dissatisfied
19,27,1915.0,1,1,1,1,5,5,5,5,4,5,4,5,4,5,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,satisfied
20,67,488.0,3,0,3,3,3,3,1,3,4,4,3,2,3,3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral or dissatisfied
21,31,680.0,2,3,2,4,5,2,5,5,3,3,3,3,4,5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,neutral or dissatisfied
22,22,209.0,2,1,2,1,1,2,3,1,3,3,2,4,2,1,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,neutral or dissatisfied
23,26,228.0,1,4,1,3,4,1,4,4,4,3,3,2,4,4,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,neutral or dissatisfied
24,38,1514.0,2,3,2,4,5,2,5,5,4,5,3,4,3,5,2.0,23.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,neutral or dissatisfied
25,24,229.0,1,3,3,3,1,1,3,1,2,2,4,3,4,1,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,neutral or dissatisfied
26,19,2172.0,5,5,5,5,4,4,4,4,4,4,4,4,4,4,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,satisfied
27,46,1666.0,4,4,4,4,3,5,4,4,4,4,4,5,4,3,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,satisfied
28,36,670.0,2,2,2,2,3,5,4,4,4,5,4,4,4,5,10.0,16.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,satisfied
29,23,101.0,4,4,4,4,5,4,5,5,3,2,4,4,5,5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,neutral or dissatisfied
30,46,546.0,2,3,3,3,3,2,3,2,2,2,2,4,2,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,neutral or dissatisfied
31,37,1543.0,2,5,5,5,2,1,2,3,3,3,2,2,3,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,neutral or dissatisfied
32,17,258.0,1,0,1,4,4,1,4,4,2,2,4,4,4,4,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,neutral or dissatisfied
33,23,1546.0,4,1,3,3,4,4,4,4,1,1,3,2,3,4,119.0,109.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,neutral or dissatisfied
34,54,808.0,3,3,3,3,4,4,4,5,4,5,5,4,4,4,177.01000000000022,182.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,satisfied
35,33,1197.0,0,0,0,1,2,0,2,2,4,3,1,1,4,2,53.0,58.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,satisfied
36,27,695.0,3,3,3,4,4,3,4,4,4,3,4,4,3,4,7.0,14.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,neutral or dissatisfied
37,38,429.0,1,1,1,5,2,1,2,2,4,2,5,5,4,2,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,neutral or dissatisfied
